pos x,pos y,ori,major axis len,minor axis len,body area,fg area,img contrast,min fg dist,wing l x,wing l y,wing r x,wing r y,wing l ang,wing l len,wing r ang,wing r len,leg 1 x,leg 1 y,leg 2 x,leg 2 y,leg 3 x,leg 3 y,leg 4 x,leg 4 y,leg 5 x,leg 5 y,leg 6 x,leg 6 y,leg 1 ang,leg 2 ang,leg 3 ang,leg 4 ang,leg 5 ang,leg 6 ang,vel,ang_vel,min_wing_ang,max_wing_ang,mean_wing_length,axis_ratio,fg_body_ratio,contrast,dist_to_wall,dist_to_other,angle_between,facing_angle,leg_dist
694.2764045,459.811236,2.840391214,37.30642927,15.66011917,445,1567,0.434064576,12.04159451,728,475,728,466,-0.1219766121,36.98620617,0.119706531,34.28675683,674,472,724,449,,,,,,,,,-2.299140919,0.6500513551,,,,,0,0,0.119706531,0.1219766121,2.171695757,2.382257048,3.521348315,0.434064576,5.54556179,3.740095645,2.853235179,1.153186273,0.7338176665
694.2764045,459.811236,2.840391214,37.30642927,15.66011917,445,1567,0.434064576,12.04159451,728,475,728,466,-0.1219766121,36.98620617,0.119706531,34.28675683,674,472,724,449,,,,,,,,,-2.299140919,0.6500513551,,,,,0,0,0.119706531,0.1219766121,2.171695757,2.382257048,3.521348315,0.434064576,5.54556179,3.740095645,2.853235179,1.153186273,0.7338176665
694.2764045,459.811236,2.840391214,37.30642927,15.66011917,445,1567,0.434064576,12.04159451,728,475,728,466,-0.1219766121,36.98620617,0.119706531,34.28675683,674,472,724,449,,,,,,,,,-2.299140919,0.6500513551,,,,,0.1988922375,0.02157087576,0.1058445979,0.1329921738,2.159326604,2.37829602,3.481366003,0.4326758275,5.54556179,3.700466881,2.86028594,1.166485371,0.7454672186
693.9645233,459.5077605,2.837515097,37.51292219,15.85223002,451,1516,0.4285095819,12.80624866,727,472,728,464,-0.05744855519,35.31853294,0.1728491022,34.33065526,675,472,683,482,,,,,,,,,-2.25503685,-1.720300536,,,,,0.397784475,0.04314175153,0.07358056941,0.1595634594,2.134588297,2.370373964,3.40140138,0.4298983304,5.54556179,3.621209354,2.874387462,1.193083567,0.7687663228
693.9645233,459.5077605,2.837515097,37.51292219,15.85223002,451,1516,0.4285095819,12.80624866,727,472,728,464,-0.05744855519,35.31853294,0.1728491022,34.33065526,675,472,683,482,,,,,,,,,-2.25503685,-1.720300536,,,,,0.2620362802,0.06293824614,0.06043668373,0.1767990779,2.123367905,2.389107711,3.38841124,0.4433911738,5.54556179,3.567725762,2.879937472,1.212399462,0.7792225702
693.8911565,460.2358277,2.843030746,37.67161287,15.33116351,441,1530,0.4880359493,12.72792244,727,473,728,464,-0.06940106935,35.48407552,0.1886490049,34.3159176,684,483,730,472,721,450,,,,,,,-1.682128623,-0.01639116884,0.6595948512,,,,0.5452907202,0.1395457123,0.0802138331,0.1799111819,2.122175705,2.424956398,3.434845942,0.4702435514,5.54556179,3.534096145,2.876804046,1.227018558,0.7768359607
695.0923423,459.3378378,2.83545595,37.57967388,15.53502681,444,1527,0.4763927253,12.72792244,727,474,729,464,-0.1246046385,35.11520492,0.1694976153,34.22667094,676,472,722,449,,,,,,,,,-2.249852797,0.6729459033,,,,,0.6807888548,0.1730283377,0.102105814,0.1767089954,2.111430369,2.428571052,3.396676047,0.4714106131,5.54556179,3.507795344,2.867753445,1.235887645,0.8187339017
694.1039823,459.7566372,2.837861153,37.80641084,15.62871588,452,1464,0.4448210524,15.5563488,726,473,728,464,-0.08981290944,34.5361058,0.1791917459,34.16059344,722,449,,,,,,,,,,,0.6717606839,,,,,,0.1824770745,0.1823692477,0.1111513288,0.178016596,2.098519288,2.417684863,3.320688446,0.4474159657,5.54556179,3.50302787,2.852539153,1.237473841,0.8728812509
694.5598194,459.5778781,2.825930456,37.52139129,15.54555693,443,1491,0.4236290325,13.45362377,726,475,728,464,-0.1403748576,35.01894914,0.1841852771,33.73130356,678,469,675,473,722,449,,,,,,,-2.308635974,-2.224520363,0.6835965374,,,,0.1192163752,0.2381407495,0.1223049634,0.1824634826,2.087228851,2.412791577,3.320878533,0.4318713947,5.54556179,3.506318932,2.84261633,1.241882705,0.8623917315
694.787472,459.7293065,2.831415959,37.57448977,15.62446562,447,1481,0.4354064614,14.14213562,726,474,728,464,-0.1186572287,34.32017767,0.1822916302,33.48597971,682,480,722,449,,,,,,,,,-1.823404224,0.6857407725,,,,,0.2731499097,0.2005048213,0.1143978404,0.1823757132,2.081965234,2.40633072,3.3081762,0.4362816323,5.54556179,3.5095295,2.8414978,1.242835834,0.8767667887
